QuarterEnd,X1_Scrap_Price,X2_Electricity_Price,X3_Natural_Gas_Price,X4_Diesel_Price,X5_Rail_Price,X7_Hourly_Wage,X10_Graphite_Price,X13_PPI_All_Commodities,X8_US_Scrap_Exports,X9_US_Dollar_Index,X6_Disaster_Cost_Sum,X6_Disaster_Event_Count,X11_Economic_Policy_Uncertainty
1900-03-31,,,,,,,,,,,0.0,0.0,142.5154571533203
1900-06-30,,,,,,,,,,,0.0,0.0,93.28679911295573
1900-09-30,,,,,,,,,,,0.0,0.0,98.09842173258464
1900-12-31,,,,,,,,,,,0.0,0.0,87.59547170003255
1901-03-31,,,,,,,,,,,0.0,0.0,103.71760813395183
1901-06-30,,,,,,,,,,,0.0,0.0,81.2587381998698
1901-09-30,,,,,,,,,,,0.0,0.0,78.77469889322917
1901-12-31,,,,,,,,,,,0.0,0.0,107.38672383626302
1902-03-31,,,,,,,,,,,0.0,0.0,71.3087043762207
1902-06-30,,,,,,,,,,,0.0,0.0,68.18900680541992
1902-09-30,,,,,,,,,,,0.0,0.0,46.75418217976888
1902-12-31,,,,,,,,,,,0.0,0.0,87.62041727701823
1903-03-31,,,,,,,,,,,0.0,0.0,66.63262557983398
1903-06-30,,,,,,,,,,,0.0,0.0,56.532788594563804
1903-09-30,,,,,,,,,,,0.0,0.0,57.9051259358724
1903-12-31,,,,,,,,,,,0.0,0.0,61.058712005615234
1904-03-31,,,,,,,,,,,0.0,0.0,77.65980529785156
1904-06-30,,,,,,,,,,,0.0,0.0,69.01271184285481
1904-09-30,,,,,,,,,,,0.0,0.0,79.31158065795898
1904-12-31,,,,,,,,,,,0.0,0.0,63.189910888671875
1905-03-31,,,,,,,,,,,0.0,0.0,70.65521494547527
1905-06-30,,,,,,,,,,,0.0,0.0,58.29093805948893
1905-09-30,,,,,,,,,,,0.0,0.0,60.69347254435221
1905-12-31,,,,,,,,,,,0.0,0.0,72.96249008178711
1906-03-31,,,,,,,,,,,0.0,0.0,61.11754480997721
1906-06-30,,,,,,,,,,,0.0,0.0,61.2509765625
1906-09-30,,,,,,,,,,,0.0,0.0,51.13618723551432
1906-12-31,,,,,,,,,,,0.0,0.0,55.95623906453451
1907-03-31,,,,,,,,,,,0.0,0.0,39.89495722452799
1907-06-30,,,,,,,,,,,0.0,0.0,47.40167999267578
1907-09-30,,,,,,,,,,,0.0,0.0,55.49776840209961
1907-12-31,,,,,,,,,,,0.0,0.0,50.96627426147461
1908-03-31,,,,,,,,,,,0.0,0.0,68.87001037597656
1908-06-30,,,,,,,,,,,0.0,0.0,64.6914431254069
1908-09-30,,,,,,,,,,,0.0,0.0,40.96770350138346
1908-12-31,,,,,,,,,,,0.0,0.0,67.87795511881511
1909-03-31,,,,,,,,,,,0.0,0.0,105.14428456624348
1909-06-30,,,,,,,,,,,0.0,0.0,73.69187672932942
1909-09-30,,,,,,,,,,,0.0,0.0,68.36590830485027
1909-12-31,,,,,,,,,,,0.0,0.0,60.53041076660156
1910-03-31,,,,,,,,,,,0.0,0.0,73.87930043538411
1910-06-30,,,,,,,,,,,0.0,0.0,69.78796768188477
1910-09-30,,,,,,,,,,,0.0,0.0,59.326394399007164
1910-12-31,,,,,,,,,,,0.0,0.0,66.89439392089844
1911-03-31,,,,,,,,,,,0.0,0.0,63.515448252360024
1911-06-30,,,,,,,,,,,0.0,0.0,75.69033813476562
1911-09-30,,,,,,,,,,,0.0,0.0,63.18773523966471
1911-12-31,,,,,,,,,,,0.0,0.0,72.58547719319661
1912-03-31,,,,,,,,,,,0.0,0.0,63.03588994344076
1912-06-30,,,,,,,,,,,0.0,0.0,45.916238149007164
1912-09-30,,,,,,,,,,,0.0,0.0,52.20287958780924
1912-12-31,,,,,,,,,,,0.0,0.0,70.70267105102539
1913-03-31,,,,,,,,12.033333333333333,,,0.0,0.0,76.04061381022136
1913-06-30,,,,,,,,11.933333333333332,,,0.0,0.0,89.21991475423177
1913-09-30,,,,,,,,12.066666666666668,,,0.0,0.0,80.80086263020833
1913-12-31,,,,,,,,12.066666666666668,,,0.0,0.0,102.65321095784505
1914-03-31,,,,,,,,11.766666666666666,,,0.0,0.0,78.80914942423503
1914-06-30,,,,,,,,11.633333333333333,,,0.0,0.0,86.58887481689453
1914-09-30,,,,,,,,11.9,,,0.0,0.0,138.8823216756185
1914-12-31,,,,,,,,11.666666666666666,,,0.0,0.0,88.80661010742188
1915-03-31,,,,,,,,11.800000000000002,,,0.0,0.0,109.43811798095703
1915-06-30,,,,,,,,11.833333333333334,,,0.0,0.0,88.68565368652344
