"Date","Price","Open","High","Low","Vol.","Change %"
"01/10/2025","105.83","104.02","106.53","104.02","","0.51%"
"01/09/2025","105.29","102.53","106.08","102.53","","3.42%"
"01/08/2025","101.81","99.57","102.41","99.57","","2.71%"
"01/07/2025","99.12","93.41","99.12","93.41","","4.92%"
"01/06/2025","94.47","95.95","96.26","94.47","","-4.69%"
"01/05/2025","99.12","99.25","100.75","97.41","","-0.64%"
"01/04/2025","99.76","102.21","104.25","99.05","","-2.68%"
"01/03/2025","102.51","100.81","102.85","100.72","","-4.11%"
"01/02/2025","106.90","105.02","107.26","104.81","","5.23%"
"01/01/2025","101.59","100.61","101.59","97.74","","-1.95%"
"01/12/2024","103.61","105.32","106.34","103.61","","1.14%"
"01/11/2024","102.44","102.49","105.22","101.63","","-1.29%"
"01/10/2024","103.78","108.74","112.39","103.78","","10.60%"
"01/09/2024","93.83","100.55","100.55","91.28","","-4.93%"
"01/08/2024","98.70","98.70","98.70","98.70","","-6.83%"
"01/07/2024","105.94","105.94","105.94","105.94","","-0.54%"
"01/06/2024","106.51","106.51","106.51","106.51","","-9.37%"
"01/05/2024","117.52","117.52","117.52","117.52","","5.96%"
"01/04/2024","110.91","110.91","110.91","110.91","","1.26%"
"01/03/2024","109.53","109.53","109.53","109.53","","-12.28%"
"01/02/2024","124.86","124.86","124.86","124.86","","-7.60%"
"01/01/2024","135.13","135.13","135.13","135.13","","-0.91%"
"01/12/2023","136.37","136.37","136.37","136.37","","4.53%"
"01/11/2023","130.46","130.46","130.46","130.46","","9.71%"
"01/10/2023","118.91","118.91","118.91","118.91","","-1.56%"
"01/09/2023","120.79","120.79","120.79","120.79","","10.41%"
"01/08/2023","109.40","109.40","109.40","109.40","","-2.72%"
"01/07/2023","112.46","112.46","112.46","112.46","","-0.10%"
"01/06/2023","112.57","112.57","112.57","112.57","","7.14%"
"01/05/2023","105.07","105.07","105.07","105.07","","-9.53%"
"01/04/2023","116.14","116.14","116.14","116.14","0.03K","-8.59%"
"01/03/2023","127.06","127.06","127.06","127.06","0.05K","1.04%"
"01/02/2023","125.75","125.75","125.75","125.75","0.10K","1.93%"
"01/01/2023","123.37","123.37","123.37","123.37","","10.86%"
"01/12/2022","111.28","111.28","111.28","111.28","0.03K","19.34%"
"01/11/2022","93.25","93.25","93.25","93.25","","0.89%"
"01/10/2022","92.43","92.43","92.43","92.43","","-5.98%"
"01/09/2022","98.31","98.31","98.31","98.31","","-6.16%"
"01/08/2022","104.76","104.76","104.76","104.76","","-2.29%"
"01/07/2022","107.22","107.22","107.22","107.22","","-17.52%"
"01/06/2022","130.00","130.00","130.00","130.00","0.15K","-2.63%"
"01/05/2022","133.51","133.51","133.51","133.51","","-11.45%"
"01/04/2022","150.77","150.77","150.77","150.77","","-0.05%"
"01/03/2022","150.84","150.84","150.84","150.84","0.03K","6.23%"
"01/02/2022","141.99","141.99","141.99","141.99","0.04K","8.27%"
"01/01/2022","131.15","131.15","131.15","131.15","0.30K","16.58%"
"01/12/2021","112.50","112.50","112.50","112.50","","18.46%"
"01/11/2021","94.97","94.97","94.97","94.97","","-21.66%"
"01/10/2021","121.23","121.23","121.23","121.23","0.13K","1.32%"
"01/09/2021","119.65","119.65","119.65","119.65","0.35K","-24.87%"
"01/08/2021","159.25","159.25","159.25","159.25","","-24.88%"
"01/07/2021","211.99","211.80","211.80","211.80","0.05K","-1.19%"
"01/06/2021","214.55","214.55","214.55","214.55","0.04K","4.29%"
"01/05/2021","205.73","205.73","205.73","205.73","0.11K","14.53%"
