"Date","Price","Open","High","Low","Vol.","Change %"
"01/10/2025","107.27","103.75","108.23","103.48","","3.52%"
"01/09/2025","103.62","102.68","107.68","102.68","","-0.61%"
"01/08/2025","104.26","100.22","104.94","100.22","","4.41%"
"01/07/2025","99.86","93.12","105.74","93.12","","5.65%"
"01/06/2025","94.52","95.45","95.84","92.56","","-1.52%"
"01/05/2025","95.98","96.55","101.47","95.50","","-1.54%"
"01/04/2025","97.48","102.87","102.87","94.49","","-3.42%"
"01/03/2025","100.93","100.23","104.46","99.94","","-1.63%"
"01/02/2025","102.60","104.14","108.86","102.60","","-3.01%"
"01/01/2025","105.78","100.81","105.78","96.47","","4.62%"
"01/12/2024","101.11","104.78","106.14","99.05","","-3.99%"
"01/11/2024","105.31","102.15","105.56","98.18","","1.77%"
"01/10/2024","103.48","107.89","109.32","97.91","","-3.70%"
"01/09/2024","107.46","100.75","107.46","89.44","","6.87%"
"01/08/2024","100.55","100.55","100.55","100.55","0.03K","0.45%"
"01/07/2024","100.10","100.10","100.10","100.10","0.03K","-6.30%"
"01/06/2024","106.83","106.83","106.83","106.83","0.07K","-9.91%"
"01/05/2024","118.58","118.58","118.58","118.58","0.13K","0.94%"
"01/04/2024","117.47","117.47","117.47","117.47","","15.10%"
"01/03/2024","102.06","102.06","102.06","102.06","","-10.92%"
"01/02/2024","114.57","114.57","114.57","114.57","","-12.25%"
"01/01/2024","130.57","130.57","130.57","130.57","","-6.68%"
"01/12/2023","139.92","139.92","139.92","139.92","0.11K","6.70%"
"01/11/2023","131.13","131.13","131.13","131.13","0.11K","7.19%"
"01/10/2023","122.33","122.33","122.33","122.33","0.11K","2.16%"
"01/09/2023","119.74","119.74","119.74","119.74","0.13K","3.36%"
"01/08/2023","115.85","115.85","115.85","115.85","0.06K","6.32%"
"01/07/2023","108.96","108.96","108.96","108.96","","-2.46%"
"01/06/2023","111.71","111.71","111.71","111.71","0.15K","10.20%"
"01/05/2023","101.37","101.37","101.37","101.37","","-2.16%"
"01/04/2023","103.61","103.61","103.61","103.61","","-17.53%"
"01/03/2023","125.64","125.64","125.64","125.64","","1.28%"
"01/02/2023","124.05","124.05","124.05","124.05","","-3.67%"
"01/01/2023","128.78","128.78","128.78","128.78","0.10K","9.93%"
"01/12/2022","117.15","117.15","117.15","117.15","0.71K","15.04%"
"01/11/2022","101.83","101.83","101.83","101.83","0.42K","30.92%"
"01/10/2022","77.78","77.78","77.78","77.78","0.34K","-18.38%"
"01/09/2022","95.30","95.30","95.30","95.30","0.27K","-5.48%"
"01/08/2022","100.82","100.82","100.82","100.82","0.46K","-13.00%"
"01/07/2022","115.88","115.88","115.88","115.88","0.80K","-4.92%"
"01/06/2022","121.88","121.88","121.88","121.88","0.86K","-10.43%"
"01/05/2022","136.07","136.07","136.07","136.07","0.37K","-6.09%"
"01/04/2022","144.90","144.90","144.90","144.90","0.28K","-8.76%"
