Year,Quarter_Label,PeriodEndDate,ReportType,Y_Cost_Per_Ton,Gross_Margin_Pct,Inventory_Turnover,Net_sales_millions,COGS_millions,Tons_Shipped_thousands,AccessionNumber,Cost_of_products_sold,Net_sales,Inventories_net,Tons_Shipped,Quarter,Inventories_Previous,Average_Inventory,Inventories_millions,QuarterEnd,X1_Scrap_Price,X2_Electricity_Price,X3_Natural_Gas_Price,X4_Diesel_Price,X5_Rail_Price,X7_Hourly_Wage,X10_Graphite_Price,X_PPI_All_Commodities,X9_US_Dollar_Index,X6_Disaster_Cost_Sum,X6_Disaster_Event_Count,X12_Economic_Policy_Uncertainty
2015,Q1,2015-04-04,10-Q,729.5755102040816,6.552697616060225,1.596272375492822,4399.44,4111.158,5635.0,0001193125-15-185690,4111158000.0,4399440000.0,2405916000.0,5635000.0,1,2745032000.0,2575474000.0,2405.916,2015-03-31,174.5,6.773333333333333,2.896666666666667,2.917333333333333,182.6,24.8,162.46666666666667,191.53333333333333,,9998.6,2.0,101.37755330403644
2015,Q2,2015-07-04,10-Q,655.8716763005781,8.865090924862693,1.699567544203145,4357.609,3971.303,6055.0,0001193125-15-287733,3971303000.0,4357609000.0,2267394000.0,6055000.0,2,2405916000.0,2336655000.0,2267.394,2015-06-30,165.1,7.1000000000000005,2.7466666666666666,2.8476666666666666,179.83333333333334,24.94333333333333,161.4,193.03333333333333,,15643.9,7.0,107.24798075358072
2015,Q3,2015-10-03,10-Q,629.2160462349142,12.396977030486706,1.599527273080816,4225.514,3701.678,5883.0,0001193125-15-374781,3701678000.0,4225514000.0,2361071000.0,5883000.0,3,2267394000.0,2314232500.0,2361.071,2015-09-30,161.4,7.146666666666666,2.7566666666666664,2.6293333333333333,178.79999999999998,25.070000000000004,161.0,191.63333333333333,,,,142.3903605143229
2015,Q4,2015-12-31,Calculated_Q4,656.9779710144927,1.6368300651798369,,3456.437,3399.861,5175.0,0001193125-16-481119,3399861000.0,3456437000.0,,5175000.0,4,2361071000.0,,,2015-12-31,155.70000000000002,6.5,2.12,2.432,176.66666666666666,25.23333333333333,160.20000000000002,185.5666666666667,112.49054722222223,5266.9,2.0,100.7496846516927
2016,Q1,2016-04-02,10-Q,557.6818477553676,7.722840281022377,1.707586961166485,3715.576,3428.628,6148.0,0001193125-16-586874,3428628000.0,3715576000.0,2007879000.0,6148000.0,1,2007879000.0,2007879000.0,2007.879,2016-03-31,154.16666666666666,6.44,2.0,2.077,174.0,25.4,159.4333333333333,182.0,113.60903220338984,13371.5,5.0,144.5564168294271
2016,Q2,2016-07-02,10-Q,569.8485364720458,13.337032699824672,1.7129892297811948,4245.772,3679.512,6457.0,0001193125-16-677912,3679512000.0,4245772000.0,2288134000.0,6457000.0,2,2007879000.0,2148006500.0,2288.134,2016-06-30,159.76666666666665,6.943333333333334,2.143333333333333,2.296666666666667,174.23333333333335,25.576666666666668,144.4,185.36666666666667,110.91595625,19518.4,7.0,142.1972885131836
2016,Q3,2016-10-01,10-Q,622.4995754797079,14.552486156938684,1.5847174772822867,4290.236,3665.9,5889.0,0001193125-16-764062,3665900000.0,4290236000.0,2338432000.0,5889000.0,3,2288134000.0,2313283000.0,2338.432,2016-09-30,164.36666666666667,7.033333333333334,2.8766666666666665,2.3833333333333333,176.26666666666665,25.723333333333333,144.4,187.0666666666667,112.0512875,15220.0,2.0,119.22918192545572
2016,Q4,2016-12-31,Calculated_Q4,708.0410958904109,-4.512771154499426,,3956.416,4134.96,5840.0,0001193125-17-062124,4134960000.0,3956416000.0,,5840000.0,4,2338432000.0,,,2016-12-31,161.76666666666668,6.640000000000001,3.04,2.4676666666666667,177.33333333333334,25.91,144.4,187.0666666666667,115.8630426229508,13100.0,1.0,174.5300725301107
2017,Q1,2017-04-01,10-Q,615.8762150668286,15.78861346587531,1.32333682530669,4815.179,4054.929,6584.0,0001193125-17-165702,4054929000.0,4815179000.0,3064170000.0,6584000.0,1,3064170000.0,3064170000.0,3064.17,2017-03-31,171.73333333333335,6.646666666666666,3.01,2.567333333333333,180.0,26.06,144.43333333333334,191.26666666666665,116.46396229508196,16589.7,7.0,175.80934143066406
2017,Q2,2017-07-01,10-Q,661.6988737403675,13.713172510695646,1.3973808638226632,5174.769,4465.144,6748.0,0001193125-17-252608,4465144000.0,5174769000.0,3326563000.0,6748000.0,2,3064170000.0,3195366500.0,3326.563,2017-06-30,176.9,7.093333333333334,3.0766666666666667,2.551333333333333,181.16666666666663,26.21333333333333,157.66666666666666,193.13333333333333,113.90348125,40146.5,9.0,136.06769053141275
2017,Q3,2017-09-30,10-Q,693.7372317920822,11.198276557377715,1.3407249368572014,5170.117,4591.153,6618.0,0001193125-17-337077,4591153000.0,5170117000.0,3522199000.0,6618000.0,3,3326563000.0,3424381000.0,3522.199,2017-09-30,176.0,7.1000000000000005,2.953333333333333,2.6253333333333333,181.4666666666667,26.403333333333336,179.16666666666666,194.03333333333333,109.93858412698413,339200.0,3.0,131.872683207194
2017,Q4,2017-12-31,Calculated_Q4,1236.6997017664603,-5.868869103788638,,5091.935,5390.774,4359.0,0001193125-18-064018,5390774000.0,5091935000.0,,4359000.0,4,3522199000.0,,,2017-12-31,174.80000000000004,6.736666666666667,2.903333333333333,2.8706666666666667,184.76666666666665,26.55666666666667,186.86666666666667,195.7,110.97474426229508,,,125.83290354410808
2018,Q1,2018-03-31,10-Q,694.992536242285,13.045103107363149,1.3056516335567208,5568.419,4842.013,6967.0,0001193125-18-157220,4842013000.0,5568419000.0,3708503000.0,6967000.0,1,3708503000.0,3708503000.0,3708.503,2018-03-31,180.5,6.66,3.0766666666666667,3.017333333333333,187.7,26.77,205.73333333333332,198.83333333333331,107.99647,5955.1,3.0,154.27288055419922
2018,Q2,2018-06-30,10-Q,735.6098374322635,18.05650530416325,1.3502170052824702,6460.774,5294.184,7197.0,0001193125-18-242368,5294184000.0,6460774000.0,4133472000.0,7197000.0,2,3708503000.0,3920987500.0,4133.472,2018-06-30,200.33333333333331,7.093333333333334,2.856666666666667,3.1976666666666667,191.13333333333333,26.973333333333333,242.7,202.5666666666667,110.617584375,44533.2,8.0,145.23827616373697
