Y_Cost_Per_Ton,QuarterEnd,X1_Scrap_Price,X2_Electricity_Price,X3_Natural_Gas_Price,X4_Diesel_Price,X5_Rail_Price,X6_Disaster_Cost_Sum,X7_Hourly_Wage,X8_US_Scrap_Exports,X9_US_Dollar_Index,X10_Graphite_Price,X11_Economic_Policy_Uncertainty,X12_Inventory_Turnover,X13_PPI_All_Commodities
729.5755102040816,2015-03-31,174.5,6.773333333333333,2.896666666666667,2.917333333333333,182.6,9998.6,24.8,2258731121.0,105.47301694915257,162.46666666666667,101.37755330403644,1.596272375492822,191.53333333333333
655.8716763005781,2015-06-30,165.1,7.1000000000000005,2.7466666666666666,2.8476666666666666,179.83333333333334,15643.9,24.94333333333333,2719429295.0,105.997159375,161.4,107.24798075358072,1.699567544203145,193.03333333333333
629.2160462349142,2015-09-30,161.4,7.146666666666666,2.7566666666666664,2.6293333333333333,178.79999999999998,0.0,25.070000000000004,2308196929.0,109.626665625,161.0,142.3903605143229,1.599527273080816,191.63333333333333
656.9779710144927,2015-12-31,155.70000000000002,6.5,2.12,2.432,176.66666666666666,5266.9,25.23333333333333,1985767445.0,111.47422419354838,160.20000000000002,100.7496846516927,1.508864832359373,185.5666666666667
557.6818477553676,2016-03-31,154.16666666666666,6.44,2.0,2.077,174.0,13371.5,25.4,1592064856.0,113.60903220338984,159.4333333333333,144.5564168294271,1.6510288267972415,182.0
569.8485364720458,2016-06-30,159.76666666666665,6.943333333333334,2.143333333333333,2.296666666666667,174.23333333333335,19518.4,25.576666666666668,2047448202.0,110.91595625,144.4,142.1972885131836,1.7129892297811948,185.36666666666667
622.4995754797079,2016-09-30,164.36666666666667,7.033333333333334,2.8766666666666665,2.3833333333333333,176.26666666666665,15220.0,25.723333333333333,1955131544.0,112.0512875,144.4,119.22918192545572,1.5847174772822867,187.0666666666667
708.0410958904109,2016-12-31,161.76666666666668,6.640000000000001,3.04,2.4676666666666667,177.33333333333334,13100.0,25.91,2121859177.0,115.8630426229508,144.4,174.5300725301107,1.7163243324014867,187.0666666666667
615.8762150668286,2017-03-31,171.73333333333335,6.646666666666666,3.01,2.567333333333333,180.0,16589.7,26.06,2154441877.0,116.46396229508196,144.43333333333334,175.80934143066406,1.4627833267918775,191.26666666666665
661.6988737403675,2017-06-30,176.9,7.093333333333334,3.0766666666666667,2.551333333333333,181.16666666666663,40146.5,26.21333333333333,2348916049.0,113.90348125,157.66666666666666,136.06769053141275,1.3973808638226632,193.13333333333333
693.7372317920822,2017-09-30,176.0,7.1000000000000005,2.953333333333333,2.6253333333333333,181.4666666666667,339200.0,26.403333333333336,2562100910.0,109.93858412698413,179.16666666666666,131.872683207194,1.3407249368572014,194.03333333333333
1236.6997017664603,2017-12-31,174.80000000000004,6.736666666666667,2.903333333333333,2.8706666666666667,184.76666666666665,0.0,26.55666666666667,2941675446.0,110.97474426229508,186.86666666666667,125.83290354410808,1.5437751337543502,195.7
694.992536242285,2018-03-31,180.5,6.66,3.0766666666666667,3.017333333333333,187.7,5955.1,26.77,2905848534.0,107.99647,205.7333333333333,154.27288055419922,1.3505956398080998,198.8333333333333
735.6098374322635,2018-06-30,200.3333333333333,7.093333333333334,2.856666666666667,3.1976666666666667,191.13333333333333,44533.2,26.973333333333333,3048680622.0,110.617584375,242.7,145.23827616373697,1.3502170052824702,202.5666666666667
773.5601589103292,2018-09-30,214.2,7.056666666666668,2.93,3.237666666666667,193.5666666666667,34326.8,27.21,2872237574.0,113.64831587301587,315.4,137.3838882446289,1.3234443305443038,203.76666666666665
1183.664962121212,2018-12-31,214.46666666666667,6.7,3.803333333333333,3.2626666666666666,195.9,31218.8,27.456666666666667,2876784016.0,115.69885409836066,315.4,175.87791442871094,1.4434915224407203,202.63333333333333
768.5432244717009,2019-03-31,210.7333333333333,6.6433333333333335,2.9166666666666665,3.017666666666667,196.0,24509.1,27.683333333333334,2447744583.0,114.5529559322034,315.76666666666665,196.1356302897136,1.155881586819826,199.7
761.5246876859012,2019-06-30,205.16666666666663,6.9,2.563333333333333,3.123666666666667,198.26666666666665,19523.2,27.876666666666665,2909246492.0,115.4291453125,289.9,159.5119654337565,1.175229776084008,201.36666666666667
746.2991609458429,2019-09-30,201.4333333333333,7.1000000000000005,2.3833333333333333,3.022,198.4333333333333,9370.1,28.11,2613924035.0,116.4763265625,249.7,225.6363728841146,1.1729616965680136,199.4333333333333
598.0590856997326,2019-12-31,197.6,6.489999999999999,2.4,3.059,198.7,2113.1,28.316666666666663,2458187270.0,116.41506229508197,229.5333333333333,173.49888610839844,1.186814830744202,198.86666666666667
695.0144705718659,2020-03-31,197.46666666666667,6.406666666666666,1.9066666666666665,2.895666666666667,199.9,8904.9,28.57,2434297867.0,117.75739516129032,230.7333333333333,268.9085795084636,1.294447492998224,196.36666666666667
720.8152947618179,2020-06-30,193.36666666666667,6.88,1.7066666666666668,2.431,197.3,22412.6,29.71333333333333,1969998972.0,121.84220625,230.7333333333333,401.7160746256511,1.089648175820489,188.4333333333333
695.1099418878592,2020-09-30,189.66666666666663,6.93,1.9933333333333327,2.425666666666667,196.53333333333333,78765.2,29.46666666666667,2463337293.0,117.358425,230.8,314.658203125,1.3342788745697691,194.26666666666665
791.2813708494466,2020-12-31,198.26666666666665,6.406666666666666,2.526666666666667,2.4686666666666666,197.8,10502.0,29.7,2869880584.0,113.92367,230.96666666666667,319.9976298014323,1.7376326068768893,198.4333333333333
751.7702062430324,2021-03-31,223.7333333333333,7.1433333333333335,3.56,2.893333333333333,201.53333333333333,42347.8,30.01,3389048383.0,112.37469166666666,188.76666666666665,205.20377095540368,1.3607162175404337,210.13333333333333
844.1140069500134,2021-06-30,264.26666666666665,7.096666666666667,2.9433333333333334,3.2113333333333336,206.0666666666667,24049.1,30.396666666666665,3985660099.0,111.8373984375,206.30000000000004,154.17587280273438,1.3156432040756298,223.9
963.0437813720024,2021-09-30,317.324,7.53,4.3566666666666665,3.357666666666667,209.33033333333333,91407.3,30.80333333333333,4265957341.0,113.3141390625,190.49366666666663,170.22235616048175,1.2650711367269367,233.64766666666665
2349.060992138791,2021-12-31,351.6556666666667,7.206666666666667,4.773333333333333,3.66,213.0893333333333,6494.6,31.27,4032981418.0,114.9794786885246,191.295,171.40892537434897,1.4825940724712972,241.6966666666667
1100.272599311855,2022-03-31,355.434,7.45,4.656666666666667,4.287,217.03266666666664,25981.1,31.7,4169247885.0,115.49977258064516,195.723,174.9889678955078,1.1479518287757362,253.0423333333333
1102.2231618174,2022-06-30,364.3996666666667,8.803333333333333,7.48,5.4816666666666665,227.246,22411.3,32.086666666666666,4824810426.0,118.96322063492065,197.965,170.69710795084634,1.1992699157360558,272.9373333333333
1193.6654715510522,2022-09-30,348.70533333333333,8.963333333333333,7.990000000000001,5.164000000000001,231.7213333333333,125313.1,32.446666666666665,3599842917.0,123.53624375,222.1323333333333,202.5210723876953,1.213011540170246,269.906
