Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
North Central Hail Storms (May 2022),Severe Storm,2022-05-09,2022-05-09,2354.4,2160.0,0
North Central Severe Weather (May 2022),Severe Storm,2022-05-11,2022-05-12,2949.6,2706.0,1
North Central Hail Storms (May 2022),Severe Storm,2022-05-19,2022-05-19,2625.4,2431.0,0
Central Severe Weather (June 2022),Severe Storm,2022-06-07,2022-06-08,2044.8,1911.0,0
Central Derecho (June 2022),Severe Storm,2022-06-13,2022-06-13,3418.6,3195.0,1
North Central and Eastern Severe Weather (July 2022),Severe Storm,2022-07-22,2022-07-24,1433.8,1340.0,1
Kentucky and Missouri Flooding (July 2022),Flooding,2022-07-26,2022-07-28,1567.6,1465.0,42
Hurricane Fiona (September 2022),Tropical Cyclone,2022-09-17,2022-09-18,2685.7,2510.0,25
Hurricane Ian (September 2022),Tropical Cyclone,2022-09-28,2022-09-30,119626.0,111800.0,152
Hurricane Nicole (November 2022),Tropical Cyclone,2022-11-10,2022-11-11,1081.2,1020.0,5
Western Wildfires (Spring-Fall 2022),Wildfire,2022-04-01,2022-11-30,3327.9,3110.0,17
Central and Eastern Winter Storm and Cold Wave (December 2022),Winter Storm,2022-12-21,2022-12-26,8951.7,8445.0,87
Western/Central Drought and Heat Wave (2022),Drought,2022-01-01,2022-12-31,23480.6,20965.0,136
Northeastern Winter Storm/Cold Wave (February 2023),Winter Storm,2023-02-02,2023-02-05,1838.8,1751.0,1
Southern and Eastern Severe Weather (March 2023),Severe Storm,2023-03-02,2023-03-03,6170.0,5876.0,13
California Flooding (December 2022 - March 2023),Flooding,2022-12-26,2023-03-19,4725.0,4500.0,22
Southern and Eastern Severe Weather (April 2023),Severe Storm,2023-03-24,2023-03-26,2956.0,2815.0,23
Central Tornado Outbreak and Eastern Severe Weather (March 2023),Severe Storm,2023-03-31,2023-04-01,5909.8,5628.0,33
Central and Eastern Severe Weather (April 2023),Severe Storm,2023-04-04,2023-04-06,2956.1,2815.0,5
Fort Lauderdale Flash Flood (April 2023),Flooding,2023-04-12,2023-04-13,1144.0,1100.0,0
Central and Southern Severe Weather (April 2023),Severe Storm,2023-04-15,2023-04-15,1401.9,1335.0,0
Central Severe Weather (April 2023),Severe Storm,2023-04-19,2023-04-20,3108.3,2960.0,1
Southern Severe Weather (April 2023),Severe Storm,2023-04-25,2023-04-27,1372.8,1320.0,0
Central Severe Weather (May 2023),Severe Storm,2023-05-06,2023-05-08,2222.5,2137.0,1
Central and Eastern Tornadoes and Hail Storms (May 2023),Severe Storm,2023-05-10,2023-05-12,3563.0,3426.0,1
Texas Hail Storms (May 2023),Severe Storm,2023-05-18,2023-05-19,1690.0,1625.0,0
Typhoon Mawar (May 2023),Tropical Cyclone,2023-05-24,2023-05-25,4420.0,4250.0,2
Southern Severe Weather (June 2023),Severe Storm,2023-06-11,2023-06-14,4193.2,4032.0,0
Central and Southern Severe Weather (June 2023),Severe Storm,2023-06-15,2023-06-18,3918.7,3768.0,5
Rockies Hail Storms and Central and Eastern Severe Weather (June 2023),Severe Storm,2023-06-21,2023-06-26,5453.9,5244.0,8
Central Severe Weather (June 2023),Severe Storm,2023-06-28,2023-07-02,1976.8,1919.0,3
Northeastern Flooding and North Central Severe Weather (July 2023),Flooding,2023-07-09,2023-07-15,2230.4,2165.0,10
North Central and Southeastern Severe Weather (July 2023),Severe Storm,2023-07-19,2023-07-21,1887.0,1832.0,1
North Central and Eastern Severe Weather (July 2023),Severe Storm,2023-07-28,2023-07-29,1526.6,1482.0,2
Hawaii Firestorm (August 2023),Wildfire,2023-08-08,2023-08-08,5665.0,5500.0,100
Northeastern and Eastern Severe Weather (August 2023),Severe Storm,2023-08-05,2023-08-08,1680.2,1631.0,4
Minnesota Hail Storms (August 2023),Severe Storm,2023-08-11,2023-08-11,1828.3,1775.0,0
Hurricane Idalia (August 2023),Tropical Cyclone,2023-08-29,2023-08-31,3559.7,3456.0,5
Southern Hail Storms (September 2023),Severe Storm,2023-09-23,2023-09-24,1694.5,1645.0,0
Southern/Midwestern Drought and Heatwave (Spring-Fall 2023),Drought,2023-04-01,2023-09-30,14786.7,14082.0,247
East Coast Storm and Flooding (December 2023),Flooding,2023-12-16,2023-12-18,1314.4,1276.0,5
Southern Tornado Outbreak and East Coast Storm (January 2024),Severe Storm,2024-01-08,2024-01-10,2780.2,2726.0,3
Northwest Winter Storm (January 2024),Winter Storm,2024-01-12,2024-01-14,1723.8,1690.0,20
"Central, Southern, Northeastern Winter Storm and Cold Wave (January 2024)",Winter Storm,2024-01-14,2024-01-18,1948.3,1910.0,41
Southern Severe Weather (February 2024),Severe Storm,2024-02-10,2024-02-12,1072.0,1051.0,0
Central and Eastern Severe Weather (February 2024),Severe Storm,2024-02-27,2024-02-28,1534.0,1504.0,0
Central and Southern Severe Weather (March 2024),Severe Storm,2024-03-12,2024-03-14,6151.6,6031.0,3
Central Tornado Outbreak and Eastern Severe Weather (April 2024),Severe Storm,2024-04-01,2024-04-03,2465.5,2441.0,3
Southern and Eastern Severe Weather (April 2024),Severe Storm,2024-04-08,2024-04-11,2725.1,2698.0,0
Central and Southern Tornado Outbreak (April 2024),Severe Storm,2024-04-26,2024-04-28,1697.8,1681.0,3
